,losses,acc
0,tensor(0.7160),tensor(0.4400)
1,tensor(0.6779),tensor(0.6900)
2,tensor(0.6617),tensor(0.7000)
3,tensor(0.6036),tensor(0.7700)
4,tensor(0.6121),tensor(0.7200)
5,tensor(0.5514),tensor(0.7700)
6,tensor(0.5660),tensor(0.7100)
7,tensor(0.5406),tensor(0.7900)
8,tensor(0.5264),tensor(0.7400)
9,tensor(0.5008),tensor(0.7700)
10,tensor(0.4866),tensor(0.8100)
11,tensor(0.4586),tensor(0.8400)
12,tensor(0.4499),tensor(0.8200)
13,tensor(0.3696),tensor(0.8600)
14,tensor(0.4298),tensor(0.7800)
15,tensor(0.4174),tensor(0.7900)
16,tensor(0.4045),tensor(0.8300)
17,tensor(0.3611),tensor(0.8600)
18,tensor(0.3635),tensor(0.8300)
19,tensor(0.4282),tensor(0.7700)
20,tensor(0.3867),tensor(0.8100)
21,tensor(0.3534),tensor(0.8400)
22,tensor(0.3919),tensor(0.7700)
23,tensor(0.2769),tensor(0.8600)
24,tensor(0.3085),tensor(0.8500)
25,tensor(0.2715),tensor(0.9000)
26,tensor(0.2945),tensor(0.8600)
27,tensor(0.3808),tensor(0.8000)
28,tensor(0.3640),tensor(0.8200)
29,tensor(0.2657),tensor(0.8800)
30,tensor(0.2065),tensor(0.9000)
31,tensor(0.3395),tensor(0.8400)
32,tensor(0.2933),tensor(0.8000)
33,tensor(0.2364),tensor(0.8800)
34,tensor(0.2448),tensor(0.8800)
35,tensor(0.1524),tensor(0.9400)
36,tensor(0.2734),tensor(0.8900)
37,tensor(0.2736),tensor(0.9000)
38,tensor(0.1923),tensor(0.9200)
39,tensor(0.1956),tensor(0.9200)
40,tensor(0.2279),tensor(0.9000)
41,tensor(0.1534),tensor(0.9300)
42,tensor(0.2186),tensor(0.8800)
43,tensor(0.1784),tensor(0.9200)
44,tensor(0.1701),tensor(0.9400)
45,tensor(0.1826),tensor(0.9200)
46,tensor(0.1870),tensor(0.9200)
47,tensor(0.3095),tensor(0.8200)
48,tensor(0.4382),tensor(0.7300)
